protein	classRDB	TRs	anno	len	domain
4hhu_A	none	4	none	170	[PDP:4HHUAa, PDP:4HHUAb]
1oiv_A	none	3	none	168	[PDP:2CE2Xa]
1zp4_A	IV.1	3	none	282	[PDP:3FSTAa]
3wjl_A	none	4	none	212	[d1l6xa1, d1l6xa2]
4j3b_A	none	3	none	889	[PDP:3EBHAa, PDP:3EBHAb]
3uyv_A	none	4	none	231	[PDP:3VN3Aa]
4ily_A	none	3	none	236	[PDP:4OLTAa, PDP:4OLTAb]
2maw_A	none	3	none	134	[PDP:2MAWAa]
1l2i_A	none	3	none	233	[PDP:3OLLAa]
3sbw_C	none	3	none	208	[PDP:3SBWCa, PDP:3SBWCb]
1bc3_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
1f4w_H	none	3	none	216	[PDP:4NZULa, PDP:4NZULb]
3mbr_X	none	3	none	236	[PDP:3MBRXa]
2rcq_A	none	3	none	141	[PDP:4BVMAa]
2nyy_D	none	4	none	217	[PDP:4NZULa, PDP:4NZULb]
1fxl_A	none	3	none	167	[d1fxla1, d1fxla2]
2we2_A	none	3	none	248	[d2bsya1, d2bsya2]
3mcs_A	none	3	none	217	[PDP:3MCSAa, PDP:3MCSAb]
4bzj_A	none	3	none	691	[PDP:4BZJAa, PDP:4BZJAb, PDP:4BZJAc, PDP:4BZJAd]
1jfj_A	none	4	none	134	[PDP:2NXQA_]
3fhh_A	none	3	none	621	[PDP:3FHHAa]
3r25_A	IV.1	3	none	390	[PDP:4K8GAa]
1njj_A	none	4	none	349	[d7odca1, d7odca2]
4c94_A	none	3	none	161	[PDP:4A8UAa]
4lih_A	none	3	none	494	[d1o04a_]
1a8m_A	none	3	none	152	[d2tnfa_]
1a4g_A	none	3	none	390	[d1nsca_]
4epr_A	none	3	none	166	[PDP:2CE2Xa]
4a5t_S	none	4	none	767	[PDP:4DURAa, PDP:4DURAb, PDP:4DURAc, PDP:4DURAd, PDP:4DURAe, PDP:4DURAf, PDP:4DURAg]
1wms_A	none	3	none	170	[PDP:2CE2Xa]
1fo2_A	none	4	none	456	[d1fo3a_]
3mdk_A	none	3	none	200	[PDP:4HOJAa, PDP:4HOJAb]
2h0m_A	none	3	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
2d43_A	none	3	none	482	[d1wd3a1, d1wd3a2]
3ru8_X	none	3	none	277	[PDP:2BOGXa]
2x7l_A	none	3	none	220	[PDP:4NZULa, PDP:4NZULb]
3m77_A	none	3	none	307	[PDP:3M73Aa]
2ffr_A	none	3	none	810	[d2gj4a1]
1clu_A	none	3	none	160	[PDP:2CE2Xa]
3h57_A	none	3	none	154	[PDP:3QM9Aa]
1fx0_B	none	3	none	467	[d2jdid1, d2jdid2, d2jdid3]
2dtj_A	none	3	none	165	[PDP:2DTJAa, PDP:2DTJAb]
3lcl_A	IV.1	3	none	293	[PDP:2WKJAa]
2ixu_A	IV.1	3	none	338	[d2j8ga1, d2j8ga2]
4aez_C	none	3	none	215	[PDP:4AEZCa, PDP:4AEZCb]
3auv_A	none	4	none	225	[PDP:4P48Aa, PDP:4P48Ab]
3m31_A	none	3	none	357	[PDP:3M31Aa]
2nzm_A	III.1	3	none	399	[PDP:2O04Aa]
4im4_A	none	3	none	336	[d1edga_]
2m48_A	none	3	none	141	[PDP:2M48Aa, PDP:2M48Ab]
2gl8_A	none	3	none	190	[PDP:3CJWAa]
2dt9_A	none	3	none	153	[PDP:2DTJAa, PDP:2DTJAb]
4evz_A	IV.1	3	none	254	[PDP:3TDNAa]
4ime_A	IV.1	3	none	293	[d1f74a_]
4lo0_A	IV.3	4	none	286	[PDP:4OUJAa, PDP:4OUJAb]
1r3q_A	none	3	none	357	[d1r3sa_]
1h8n_A	none	4	none	217	[PDP:4P48Aa, PDP:4P48Ab]
1yii_A	none	3	none	316	[PDP:2ZHJAa, PDP:2ZHJAb]
1co8_A	none	3	none	154	[PDP:3QM9Aa]
6cp4_A	none	3	none	405	[PDP:2ZWUAa, PDP:2ZWUAb]
4lsx_C	none	3	none	185	[PDP:4LSCAa]
1kyv_A	none	3	none	147	[PDP:2C92Aa]
4l27_B	none	3	none	490	[PDP:3PC3Aa, PDP:3PC3Ab]
4m7m_A	none	3	none	137	[PDP:4BVMAa]
1obm_A	none	3	none	154	[PDP:3QM9Aa]
1baf_H	none	3	none	217	[PDP:4NZULa, PDP:4NZULb]
3u0k_A	none	4	none	396	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
3u52_A	none	3	none	494	[PDP:3U52Aa]
1nca_L	none	3	none	214	[PDP:4NZULa, PDP:4NZULb]
1sl8_A	none	3	none	181	[d1qv1a_]
1zgr_A	none	3	none	441	[PDP:1ZGSAa, PDP:1ZGSAb, PDP:1ZGSAc]
4aiq_A	none	4	C2C;	660	[PDP:4B7OAa]
4lhx_A	none	3	none	175	[PDP:2CE2Xa]
1xzu_A	none	3	none	141	[PDP:2W72Aa]
4hnw_A	none	5	CL4;	782	[PDP:4HNYAa, PDP:4HNYAb, PDP:4HNYAc, PDP:4HNYAd, PDP:4HNYAe, PDP:4HNYAf]
3noz_X	none	3	none	174	[PDP:4LQHAa]
3a1c_A	none	3	none	267	[PDP:3SKXAa, PDP:3SKXAb]
2q60_A	none	3	none	198	[PDP:3CJWAa]
3q9s_A	none	4	none	210	[PDP:3Q9SAa, PDP:3Q9SAb]
4m8n_E	none	3	none	168	[PDP:4M8NEa]
2jdf_A	none	3	none	175	[d1h4ax1, d1h4ax2]
1rse_A	none	3	none	153	[PDP:3QM9Aa]
4bp8_A	none	3	none	712	[PDP:2XE4Aa, PDP:2XE4Ab, PDP:2XE4Ac, PDP:2XE4Ad, PDP:2XE4Ae]
2qva_A	none	3	none	182	[PDP:3AXJAa, PDP:3AXJAb]
3d4o_A	none	3	none	290	[PDP:3D4OAa, PDP:3D4OAb]
1jpk_A	none	3	none	357	[d1r3sa_]
3v08_A	none	3	none	581	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
1ggw_A	none	3	none	140	[d1exra_]
1ijt_A	IV.3	3	none	128	[d1rg8a_]
3s1t_A	none	3	none	159	[PDP:2DTJAa, PDP:2DTJAb]
1bc9_A	none	3	none	200	[PDP:4JXHAa, PDP:4JXHAb]
4f9p_D	none	3	none	224	[PDP:4NZULa, PDP:4NZULb]
4mqc_A	none	3	none	141	[PDP:2W72Aa]
2rgy_A	none	3	none	275	[PDP:2RGYAa, PDP:2RGYAb]
2l1w_A	none	4	none	149	[d1exra_]
4c7p_A	none	3	none	347	[PDP:4C7PAa, PDP:4C7PAb, PDP:4C7PAc]
4ky3_A	none	3	none	160	[PDP:4KYZAa]
3sg3_A	none	4	none	394	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
3iz1_A	none	3	none	185	[PDP:2ZW3Aa]
2aao_A	none	3	none	147	[PDP:2AAOAa, PDP:2AAOAb]
1ami_A	none	3	none	753	[d8acna1, d8acna2]
3ubh_A	none	3	none	409	[PDP:3UBHAa, PDP:3UBHAb, PDP:3UBHAc, PDP:3UBHAd]
4ewn_D	IV.1	3	none	243	[PDP:3TDNAa]
1dr9_A	none	3	none	200	[d1i8la1, d1i8la2]
1yhu_B	none	3	none	144	[PDP:2ZS0Aa]
1w17_A	none	3	none	235	[d2j13a1]
2h0k_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
3e6u_A	none	3	none	409	[PDP:3E6UAa]
4mfv_A	none	4	none	489	[PDP:4CB8Aa, PDP:4CB8Ab, PDP:4CB8Ac, PDP:4CB8Ad]
3kke_A	none	3	none	278	[PDP:3KKEAa, PDP:3KKEAb]
1ya0_A	none	3	none	458	[d1ya0a1]
4etk_A	none	3	none	166	[PDP:4J4ZAa]
3s0m_A	none	3	none	377	[PDP:2V09Aa, PDP:2V09Ab]
4gp0_A	none	5	none	477	[PDP:3LLPAa, PDP:3LLPAb, PDP:3LLPAc, PDP:3LLPAd]
1gli_A	none	3	none	141	[PDP:2W72Aa]
1o1o_A	none	3	none	141	[PDP:2W72Aa]
2rop_A	none	3	none	142	[PDP:2ROPAa, PDP:2ROPAb]
1ocj_A	none	3	none	360	[d1oc7a_]
2fw6_A	none	3	none	159	[PDP:3KUUAa]
3qs4_A	none	3	none	507	[d2a65a1]
3rj6_A	none	3	none	153	[PDP:3QM9Aa]
1dxc_A	none	3	none	154	[PDP:3QM9Aa]
4im6_A	III.2	4	none	197	[PDP:4IM6Aa]
1l9x_A	none	3	none	288	[d1l9xa_]
2fgq_X	none	3	none	330	[d2fgqx1]
2zad_A	IV.1	3	none	344	[PDP:2ZADAa, PDP:2ZADAb]
4lrw_A	none	3	none	155	[PDP:2CE2Xa]
3nbc_A	IV.3	3	none	148	[PDP:3NBCAa]
4l9s_A	none	3	none	159	[PDP:2CE2Xa]
3ddy_A	none	3	none	175	[PDP:3A35Aa, PDP:3A35Ab]
1agp_A	none	3	none	166	[PDP:2CE2Xa]
1ycn_A	none	3	none	312	[d1n00a_]
3esl_A	none	4	none	195	[PDP:3ESLAa, PDP:3ESLAb]
4nsx_A	none	7	none	634	[PDP:4NSXAa, PDP:4NSXAb, PDP:4NSXAc, PDP:4NSXAd]
3c7x_A	IV.4	4	none	196	[PDP:3C7XAa]
3hr4_A	none	3	none	189	[PDP:3HR4Aa]
2wgc_A	V.2	3	none	170	[PDP:2UVOAa, PDP:2UVOAb, PDP:2UVOAc, PDP:2UVOAd]
7prn_A	none	5	none	289	[d3prna_]
4hsb_A	none	3	none	205	[PDP:4B21Aa, PDP:4B21Ab]
1kt1_A	none	3	none	374	[d1kt1a1, d1kt1a2, d1kt1a3]
3slk_A	none	3	none	747	[PDP:3SLKAa, PDP:3SLKAb, PDP:3SLKAc, PDP:3SLKAd]
3t5g_A	none	3	none	170	[PDP:2CE2Xa]
1k7g_A	III.1	3	none	455	[PDP:4I35Aa, PDP:4I35Ab, PDP:4I35Ac, PDP:4I35Ad]
4ggr_A	none	3	none	106	[PDP:3SZHAa]
1c40_A	none	3	none	141	[PDP:2W72Aa]
1bcy_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
3a21_A	none	3	none	614	[PDP:3A21Aa, PDP:3A21Ab, PDP:3A21Ac, PDP:3A21Ad]
1nz3_A	none	3	none	153	[PDP:3QM9Aa]
1r3s_A	none	3	none	356	[d1r3sa_]
1wzu_A	none	3	none	271	[PDP:4P3XAa, PDP:4P3XAb]
2gtq_A	none	3	none	864	[PDP:3B34Aa]
1y0c_A	none	3	none	141	[PDP:2W72Aa]
3eto_A	none	3	none	232	[PDP:3ETOAa]
3uj2_A	none	3	none	423	[d2akza1, d2akza2]
1lm5_A	none	3	none	189	[d1lm5a_]
1i78_A	none	3	C2C;	297	[PDP:2X55Aa]
2pm6_A	none	3	none	345	[PDP:2PM7Aa, PDP:2PM7Ab, PDP:2PM7Ac, PDP:2PM7Ad]
3l6v_A	none	4	none	313	[PDP:3L6VAa, PDP:3L6VAb]
4ipj_A	IV.1	3	none	351	[PDP:4IPIAa, PDP:4IPIAb]
1c7d_A	none	4	none	284	[d1c7ca1, d1c7ca2]
2prn_A	none	3	none	289	[d3prna_]
1s5v_A	IV.1	3	none	292	[PDP:3A5FAa]
1vc4_A	IV.1	3	none	254	[PDP:4FB7Aa]
3aj6_A	IV.3	6	none	283	[PDP:4OUJAa, PDP:4OUJAb]
1ncc_N	none	3	none	389	[PDP:3B7EAa]
1kb5_H	none	3	none	219	[PDP:4NZULa, PDP:4NZULb]
1dtn_A	IV.1	3	none	357	[PDP:4FP1Aa, PDP:4FP1Ab, PDP:4FP1Ac]
4epa_A	none	3	CL1;C2C;	632	[PDP:4EPAAa]
4ch9_A	IV.4	6	none	286	[d1zgka1]
1air_A	III.1	3	none	352	[PDP:2QY1Aa]
2v2u_A	none	3	none	173	[d1h4ax1, d1h4ax2]
1kcx_A	none	3	none	476	[d1gkpa1, d1gkpa2]
1kz9_A	none	3	none	147	[PDP:2C92Aa]
4ds7_A	none	3	none	144	[d1exra_]
3c9z_A	none	6	none	257	[PDP:3C9ZAa, PDP:3C9ZAb]
3bk5_A	none	4	none	235	[PDP:3BK5Aa]
3laf_A	none	3	C2C;	384	[PDP:3LAFAa, PDP:3LAFAb, PDP:3LAFAc, PDP:3LAFAd]
3fcc_A	none	3	none	500	[PDP:3FCEAa, PDP:3FCEAb, PDP:3FCEAc, PDP:3FCEAd]
2diw_A	none	3	none	152	[PDP:2DIWAa]
4hyj_A	none	3	none	236	[PDP:4HYJAa]
4k71_A	none	3	none	583	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
3wbd_A	none	3	none	231	[PDP:4P48Aa, PDP:4P48Ab]
5eau_A	none	4	none	523	[PDP:4GAXAa, PDP:4GAXAb]
4mnq_E	none	3	none	240	[PDP:2NW2Ba, PDP:2NW2Bb]
2znw_A	none	3	none	221	[PDP:4P48Aa, PDP:4P48Ab]
1un6_B	none	3	none	86	[d2j7ja1, d2j7ja2, d2j7ja3]
1g2f_C	none	3	none	89	[d1a1ia1, d1a1ia2, d1a1ia3]
2qvc_A	none	3	none	302	[PDP:2H3HAa, PDP:2H3HAb]
1wd3_A	none	3	none	482	[d1wd3a1, d1wd3a2]
2w6y_A	none	3	none	153	[PDP:3QM9Aa]
3g1w_A	none	3	none	291	[PDP:3G1WAa, PDP:3G1WAb]
1z0a_A	none	3	none	166	[PDP:2CE2Xa]
2o20_A	none	3	none	271	[PDP:2O20Aa, PDP:2O20Ab]
4jhm_A	IV.1	3	none	375	[PDP:4JHMAa, PDP:4JHMAb]
1b7f_A	none	3	none	167	[d1fxla1, d1fxla2]
2d0j_A	none	3	none	242	[d1v84a_]
3s1f_A	none	3	none	498	[PDP:2Q4WAa, PDP:2Q4WAb, PDP:2Q4WAc, PDP:2Q4WAd]
4o2l_A	none	3	none	167	[PDP:2CE2Xa]
4mk4_A	none	3	none	359	[PDP:3AQIAa, PDP:3AQIAb, PDP:3AQIAc]
2bxi_A	none	3	none	582	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
4e4u_A	IV.1	3	none	403	[PDP:4E4UAa]
2a57_A	none	3	none	146	[PDP:2C92Aa]
3hfm_H	none	4	none	215	[PDP:4NZULa, PDP:4NZULb]
1ncd_N	none	3	none	389	[PDP:3B7EAa]
1mey_C	none	3	none	83	[d1a1ia1, d1a1ia2, d1a1ia3]
2bvv_A	none	3	none	185	[PDP:3AKSAa]
2or2_A	none	3	none	296	[PDP:4I90Aa]
1ch2_A	none	3	none	154	[PDP:3QM9Aa]
2ft9_A	none	4	none	125	[PDP:3VG7Aa]
3tmm_A	none	3	none	195	[PDP:3TMMAa, PDP:3TMMAb]
3h4c_A	none	3	none	207	[PDP:3H4CAa, PDP:3H4CAb]
3les_A	none	3	none	179	[PDP:3LEVAa]
4evf_A	none	3	none	294	[PDP:4EVFAa, PDP:4EVFAb, PDP:4EVFAc, PDP:4EVFAd]
1yzn_A	none	3	none	178	[PDP:2CE2Xa]
3n4f_A	none	3	none	390	[PDP:3V5CAa]
3mpq_A	none	3	none	491	[d2a65a1]
1nxc_A	none	3	none	467	[d1nxca_]
2wss_S	none	3	none	167	[PDP:2WSSSa]
3e9a_A	none	4	none	275	[PDP:3E0IAa]
4m2p_A	none	3	none	192	[PDP:4MLWAa]
4bxp_A	none	9	none	170	[PDP:4LD1Aa, PDP:4LD1Ab]
2prr_A	none	3	none	190	[d2oyoa1]
3nol_A	none	4	none	234	[PDP:3NOKAa]
2xn9_B	none	3	none	242	[PDP:2NW2Ba, PDP:2NW2Bb]
2hpo_A	none	3	none	866	[PDP:3B34Aa]
3aql_A	none	3	none	388	[PDP:3AQLAa, PDP:3AQLAb, PDP:3AQLAc]
4nn7_C	none	3	none	170	[PDP:4NN5Ca, PDP:4NN5Cb]
3fsd_A	none	3	none	121	[PDP:3FSDAa]
3emm_A	none	3	none	153	[PDP:3WJDAa]
4h83_A	IV.1	3	none	356	[PDP:4H83Aa, PDP:4H83Ab]
3i6t_A	IV.1	3	none	356	[PDP:3I6TAa, PDP:3I6TAb]
2v6l_0	none	4	none	82	[d2ca5a1]
4bkn_A	none	3	none	480	[d1gkpa1, d1gkpa2]
4e4f_A	IV.1	3	none	386	[PDP:4K8GAa]
1jnl_L	none	3	none	211	[PDP:4NZULa, PDP:4NZULb]
1zu2_A	none	3	none	158	[d1zu2a1]
3sg4_A	none	4	none	394	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
2nsf_A	none	3	none	240	[d2nsfa1, d2nsfa2]
4bum_X	IV.2	6	none	283	[PDP:4C69Xa]
3cbq_A	none	3	none	169	[PDP:2CE2Xa]
1m5q_A	none	3	none	126	[d1m5q1_]
1fpz_A	none	3	none	176	[d1fpza_]
4bsz_B	III.3	3	none	150	[PDP:4BSZBa]
4g3n_A	none	5	none	302	[PDP:4G3NAa, PDP:4G3NAb]
3lgd_A	none	3	none	482	[PDP:3LGDAa, PDP:3LGDAb]
3na8_A	IV.1	3	none	290	[PDP:3NA8Aa]
1icn_A	none	3	none	131	[d1ifca_]
4a29_A	IV.1	3	none	247	[PDP:4A29Aa]
2d86_A	none	3	none	143	[PDP:2D86Aa]
2a0a_A	none	4	none	131	[PDP:4BVMAa]
1in6_A	none	3	none	300	[d1in4a1, d1in4a2]
1iyg_A	none	3	none	133	[d1nzna_]
2m3s_A	none	4	none	151	[d1exra_]
1bcw_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
2qd2_A	none	3	none	359	[PDP:3AQIAa, PDP:3AQIAb, PDP:3AQIAc]
2ydq_A	none	3	none	579	[PDP:2V5CAa, PDP:2V5CAb, PDP:2V5CAc]
2exj_A	none	3	none	533	[PDP:3C2UAa, PDP:3C2UAb]
3ewt_A	none	4	none	145	[d1exra_]
3iiv_A	IV.1	3	none	248	[PDP:3TDNAa]
1gvf_A	none	4	none	273	[d1gvfa_]
1hvd_A	none	3	none	313	[PDP:2ZHJAa, PDP:2ZHJAb]
4dnv_A	none	6	none	370	[PDP:4D9SAa]
2xh7_A	none	3	none	436	[d2akza1, d2akza2]
2wm8_A	none	3	none	170	[PDP:2WM8Aa]
4igg_A	none	3	none	750	[PDP:4IGGAa, PDP:4IGGAb, PDP:4IGGAc, PDP:4IGGAd, PDP:4IGGAe, PDP:4IGGAf]
2pju_A	none	3	none	186	[d2pjua1]
3fgc_B	none	3	none	318	[d1bsla_]
3vzk_A	none	3	none	185	[PDP:3AKSAa]
5eas_A	none	4	none	514	[PDP:4GAXAa, PDP:4GAXAb]
1uc3_A	none	3	none	149	[d1it2a_]
1ndv_A	none	3	none	349	[PDP:3IARAa]
2qdz_A	IV.2	3	none	516	[PDP:2QDZAa, PDP:2QDZAb, PDP:2QDZAc, PDP:2QDZAd]
1dk5_A	none	4	none	316	[d1n00a_]
2bbz_A	none	3	none	190	[PDP:2BBZAa, PDP:2BBZAb]
3h3b_C	none	3	none	234	[PDP:4P48Aa, PDP:4P48Ab]
3sea_A	none	3	none	167	[PDP:2CE2Xa]
3tvi_A	none	3	none	431	[PDP:3TVIAa, PDP:3TVIAb, PDP:3TVIAc, PDP:3TVIAd]
4mmi_A	none	3	none	636	[PDP:4MMHAa, PDP:4MMHAb, PDP:4MMHAc]
3b8d_A	none	4	none	363	[d2qapa1]
3e02_A	none	3	none	310	[PDP:3E49Aa]
1m6c_A	none	3	none	153	[PDP:3QM9Aa]
3g33_B	none	4	none	229	[PDP:3G33Ba, PDP:3G33Bb]
1pmp_A	none	4	none	131	[PDP:4BVMAa]
3s1d_A	none	3	none	498	[PDP:2Q4WAa, PDP:2Q4WAb, PDP:2Q4WAc, PDP:2Q4WAd]
1o60_A	none	4	none	269	[PDP:3E0IAa]
2chq_A	none	4	none	313	[d1iqpa1, d1iqpa2]
2uum_X	none	3	none	172	[d1xg0c_]
1fnt_c	none	3	none	198	[d1yaro1]
2a13_A	none	3	none	153	[PDP:3WJDAa]
4h1l_H	none	3	none	111	[d2aq2a1]
3oxf_A	none	3	none	426	[PDP:3QWPAa, PDP:3QWPAb, PDP:3QWPAc, PDP:3QWPAd, PDP:3QWPAe]
1x1r_A	none	3	none	169	[PDP:2CE2Xa]
2quu_A	none	4	none	349	[d2qapa1]
2qom_A	none	3	none	265	[PDP:2QOMAa]
4f3p_A	none	3	none	223	[PDP:4F3PAa, PDP:4F3PAb]
1yzl_A	none	3	none	172	[PDP:2CE2Xa]
3zqx_A	none	3	none	146	[PDP:3ZQXAa]
1axn_A	none	4	none	323	[PDP:2ZHJAa, PDP:2ZHJAb]
2uum_B	none	3	none	172	[d1xg0c_]
1t9f_A	none	3	none	178	[d1t9fa_]
4k5l_A	none	3	none	889	[PDP:3EBHAa, PDP:3EBHAb]
1qpn_A	none	3	none	284	[PDP:3PAJAa, PDP:3PAJAb]
2dpf_A	none	3	none	111	[PDP:2DPFAa]
2pgc_A	none	3	none	206	[d2pgca1]
2pp0_A	IV.1	3	none	395	[PDP:2OG9Aa, PDP:2OG9Ab]
4kq3_H	none	3	none	216	[PDP:4NZULa, PDP:4NZULb]
3r0e_A	none	3	none	109	[PDP:2DPFAa]
1ka9_F	IV.1	3	none	251	[PDP:3TDNAa]
2gif_A	none	3	none	1032	[PDP:4DX5Aa, PDP:4DX5Ab, PDP:4DX5Ac, PDP:4DX5Ad, PDP:4DX5Ae, PDP:4DX5Af]
1xiu_A	none	3	none	221	[PDP:3CJWAa]
2h56_A	none	3	none	218	[PDP:2H56Aa, PDP:2H56Ab]
3wdz_A	IV.4	5	none	285	[d1zgka1]
3zmr_A	none	3	none	469	[PDP:3ZMRAa, PDP:3ZMRAb, PDP:3ZMRAc]
4efn_A	none	3	none	166	[PDP:2CE2Xa]
1edh_A	none	4	none	211	[PDP:3QRBAa, PDP:3QRBAb]
4goy_A	none	3	none	475	[PDP:3LLPAa, PDP:3LLPAb, PDP:3LLPAc, PDP:3LLPAd]
1jdo_A	none	3	none	154	[PDP:3QM9Aa]
1pum_B	none	3	none	263	[PDP:3C9ZAa, PDP:3C9ZAb]
3ajc_A	none	3	none	210	[PDP:4FHRBa, PDP:4FHRBb]
3o74_A	none	3	none	270	[PDP:2IKSAa, PDP:2IKSAb]
4m57_A	none	10	none	702	[PDP:4M59Aa, PDP:4M59Ab, PDP:4M59Ac, PDP:4M59Ad, PDP:4M59Ae, PDP:4M59Af]
1bbj_H	none	3	none	211	[PDP:4NZULa, PDP:4NZULb]
1y3t_A	none	3	none	330	[PDP:2H0VAa, PDP:2H0VAb, PDP:2H0VAc]
1yt3_A	none	3	none	375	[d1yt3a1, d1yt3a2, d1yt3a3]
1tlq_A	none	3	none	161	[d1y9ia_]
1mcy_A	none	3	none	154	[PDP:3QM9Aa]
4l9p_A	III.3	4	none	335	[PDP:4L9PAa, PDP:4L9PAb, PDP:4L9PAc]
3m78_A	none	4	none	307	[PDP:3M73Aa]
2f1t_A	none	3	none	183	[PDP:2X27Xa]
4fx7_A	IV.1	4	none	240	[PDP:3TDNAa]
4c0b_A	none	3	none	428	[PDP:4OI4Aa, PDP:4OI4Ab, PDP:4OI4Ac]
3sbo_A	none	3	none	440	[d1bgva1, d1bgva2]
4grm_B	none	3	none	240	[PDP:2NW2Ba, PDP:2NW2Bb]
2wmg_A	none	3	none	553	[PDP:2WMFAa]
2b8m_A	none	3	none	109	[d2b8ma1]
1ex5_A	none	4	none	363	[d2qapa1]
3cxd_H	none	3	none	216	[PDP:4NZULa, PDP:4NZULb]
1a12_A	none	5	none	401	[d1a12a_]
1ggi_L	none	3	C2C;	215	[PDP:4NZULa, PDP:4NZULb]
1xky_A	IV.1	3	none	292	[PDP:3A5FAa]
2lle_A	IV.1	3	none	234	[PDP:3CWOXa]
2w8p_A	none	3	none	485	[PDP:3EK1Aa, PDP:3EK1Ab]
3s5p_A	none	3	none	134	[PDP:3K7PAa]
1m9l_A	none	3	none	198	[d1m9la_]
1rld_A	none	3	none	441	[d1wdda1, d1wdda2]
4lzi_A	none	3	none	277	[PDP:4LZIAa, PDP:4LZIAb, PDP:4LZIAc]
1deq_A	none	5	none	180	[d1deqa_]
